symbol	sample16_48hr_siNeg_1_S227	sample17_48hr_siNeg_2_S228	sample18_48hr_siNeg_3_S229	sample19_48hr_siFli1_1_S230	sample20_48hr_siFli1_2_S231	sample21_48hr_siFli1_3_S232
ENSG00000000003.14|TSPAN6	2119	2422	1963	2071	2560	2483
ENSG00000000005.5|TNMD	2	13	8	122	120	122
ENSG00000000419.12|DPM1	969	1150	935	687	877	784
ENSG00000000457.13|SCYL3	243	286	277	411	548	465
ENSG00000000460.16|C1orf112	842	978	810	189	214	210.51
ENSG00000000938.12|FGR	0	0	0	9	18	10
ENSG00000000971.15|CFH	2	2	3	26	30	25
ENSG00000001036.13|FUCA2	2	2	2	4	4	0
ENSG00000001084.11|GCLC	902	1072	834	1486	1650	1530
ENSG00000001167.14|NFYA	1529	1687	1533	1423	1795	1570.01
ENSG00000001460.17|STPG1	192	234	161	117	148	128
ENSG00000001461.16|NIPAL3	483	578	445	672	900	773
ENSG00000001497.16|LAS1L	2548	2981	2557	1044	1330	1173
ENSG00000001561.6|ENPP4	20	21	23	20	33	31
ENSG00000001617.11|SEMA3F	1071	1085	1047	1631	2402	1967
ENSG00000001626.14|CFTR	2	0	0	1	3	1
ENSG00000001629.9|ANKIB1	1441	1619	1321	1889	2242	1955
ENSG00000001630.15|CYP51A1	3233.21	3565.99	3208	3155.18	3697.02	3352.71
ENSG00000001631.15|KRIT1	1167.89	1145.06	1037.2	1122.28	1248.42	1338.87
ENSG00000002016.17|RAD52	446	453.73	424.42	463.13	544.27	507.84
ENSG00000002079.14|MYH16	0	0	0	23	11	6
ENSG00000002330.13|BAD	591	669	640	690	1190	886
ENSG00000002549.12|LAP3	1024	1229	1081	884	1119	970
ENSG00000002586.19|CD99	3885.5	4374.5	3993.5	3786	5102.5	4346
ENSG00000002586.19_PAR_Y|CD99	3885.5	4374.5	3993.5	3786	5102.5	4346
ENSG00000002587.9|HS3ST1	0	0	0	0	0	0
ENSG00000002726.20|AOC1	0	0	0	0	2	1
ENSG00000002745.12|WNT16	15	6	11	12	7	5
ENSG00000002746.14|HECW1	1	2	0	8	16	15
ENSG00000002822.15|MAD1L1	524	548	538	414	650	529
ENSG00000002834.17|LASP1	5397	6110.28	5379.75	9949.81	13210.84	11309.2
ENSG00000002919.14|SNX11	454	501	398	373	539	483
ENSG00000002933.7|TMEM176A	350	352	321	275	380	331
ENSG00000003056.7|M6PR	2427	2693	2386	3417	4124	3902
ENSG00000003096.14|KLHL13	583	618	598	424	540	440
ENSG00000003137.8|CYP26B1	87	100	101	259	311	294
ENSG00000003147.17|ICA1	2	0	0	38	58	52
ENSG00000003249.13|DBNDD1	743	774	724	310	454	365
ENSG00000003393.14|ALS2	1260	1380	1158	2329	2899	2598
ENSG00000003400.14|CASP10	2	7	3	30	39	21
ENSG00000003402.19|CFLAR	1188	1352	1226	3904	4614.13	4125.91
ENSG00000003436.15|TFPI	728	864	647	3191	3643	3330
ENSG00000003509.15|NDUFAF7	448	526	489	492	568	501
ENSG00000003756.16|RBM5	2162	2319	2036	5482.69	6785.23	6195
ENSG00000003987.13|MTMR7	0	0	1	0	3	1
ENSG00000003989.17|SLC7A2	605	637	616	349	444	344
ENSG00000004059.10|ARF5	1432.91	1564.01	1384.92	1903	2672	2313
ENSG00000004139.13|SARM1	791	903	915.36	1077	1486.47	1276.79
ENSG00000004142.11|POLDIP2	2639	3106	2698	2176.39	3002	2478
ENSG00000004399.12|PLXND1	1179	1133	1013	961	1513	1241
ENSG00000004455.16|AK2	4468.99	4967.99	4507.98	2112	2663.99	2321.94
ENSG00000004468.12|CD38	7	7	6	135	164	164
ENSG00000004478.7|FKBP4	5983	6657	6119	1248	1650	1425
ENSG00000004487.16|KDM1A	9177	10615	9274.9	4822	5909.31	5200
ENSG00000004534.14|RBM6	2431	2685	2320	2489.31	3010.77	2596
ENSG00000004660.14|CAMKK1	199	250	224	109	216	167
ENSG00000004700.15|RECQL	1644	1757	1507	675	804	778
ENSG00000004766.15|VPS50	430	532	387	438	521	480
ENSG00000004776.12|HSPB6	6	4	5	23	42	38
ENSG00000004777.18|ARHGAP33	548	542	568	260	410	315
ENSG00000004779.9|NDUFAB1	1770	2087	1795	824	1002	887
ENSG00000004799.7|PDK4	0	0	0	29	18	27
ENSG00000004809.13|SLC22A16	2	4	4	0	0	1
ENSG00000004838.13|ZMYND10	45	38	44	30	30	48
ENSG00000004846.16|ABCB5	0	0	0	0	0	0
ENSG00000004848.7|ARX	11	5	6	3	1	3
ENSG00000004864.13|SLC25A13	1157	1277	1160	924	1137	1007
ENSG00000004866.20|ST7	658	864	729	616.87	770.03	759.41
ENSG00000004897.11|CDC27	2433	2422	2078	1957	2195	2103
ENSG00000004939.14|SLC4A1	0	0	0	0	0	0
ENSG00000004948.13|CALCR	0	0	0	0	0	0
ENSG00000004961.14|HCCS	625	767	633	573	769	593
ENSG00000004975.11|DVL2	2007	2197	2090	1676	2306.99	1976
ENSG00000005001.9|PRSS22	0	0	0	0	0	0
ENSG00000005007.12|UPF1	3344	3427	3426.92	2715	3953	3275
ENSG00000005020.12|SKAP2	40	44	47	122	98	116
ENSG00000005022.5|SLC25A5	14517	15852	13976	4769	6439	5514
ENSG00000005059.15|CCDC109B	261	293	282	123	146	180
ENSG00000005073.5|HOXA11	0	0	0	0	0	0
ENSG00000005075.15|POLR2J	862.02	1084.64	967.36	646.83	795.32	708.82
ENSG00000005100.12|DHX33	3076.02	3158.96	2982	860	1077	888
ENSG00000005102.12|MEOX1	1	3	6	464	687	583
ENSG00000005108.15|THSD7A	25	27	38	46	59	56
ENSG00000005156.11|LIG3	1700	1925	1662	889	1264	1012
ENSG00000005175.9|RPAP3	1070	1109	961	664	742	768
ENSG00000005187.11|ACSM3	7	3	1	14	12	11
ENSG00000005189.19|AC004381.6	168	188	143	86	72	77
ENSG00000005194.14|CIAPIN1	1399	1530	1413	1308	1759	1473
ENSG00000005206.16|SPPL2B	1580.18	1636	1651	1942.96	2955.88	2518.46
ENSG00000005238.19|FAM214B	177	218	197	684	976	741
ENSG00000005243.9|COPZ2	2	5	0	26	35	32
ENSG00000005249.12|PRKAR2B	66	70	60	48	71	49
ENSG00000005302.17|MSL3	613	625	575	646	809	701
ENSG00000005339.14|CREBBP	3781.99	4066	3864	4713	6462	5387
ENSG00000005379.15|BZRAP1	3	10	5	58	68	58
ENSG00000005381.7|MPO	0	0	0	0	0	0
ENSG00000005421.8|PON1	0	0	0	0	0	0
ENSG00000005436.13|GCFC2	488	556	463	325	434	384
ENSG00000005448.16|WDR54	621	745	648.28	264	293	249
ENSG00000005469.11|CROT	150	152	129	630	713	677
ENSG00000005471.16|ABCB4	0	2	1	32	32	46
ENSG00000005483.20|KMT2E	2865	3225	2619	3520	4390	4012
ENSG00000005486.16|RHBDD2	1508	1600	1529	2009	3154	2603
ENSG00000005513.9|SOX8	1	0	0	4	7	7
ENSG00000005700.14|IBTK	2277	2470	2130	1456	1560	1464
ENSG00000005801.16|ZNF195	1136.31	1154	1059.99	693.45	864	842
ENSG00000005810.17|MYCBP2	2829	2749	2686	2604	3198	2810
ENSG00000005812.10|FBXL3	572	615	527	613	714	619
ENSG00000005844.17|ITGAL	2	1	5	0	4	1
ENSG00000005882.11|PDK2	316	310	367	710	1004	845
ENSG00000005884.17|ITGA3	428	474	472	3454	5071.99	4191
ENSG00000005889.15|ZFX	1404	1556	1372	2121	2381	2271
ENSG00000005893.15|LAMP2	2257	2442	2037	4754	5920	5530
ENSG00000005961.17|ITGA2B	30	35	26	27	38	40
ENSG00000005981.12|ASB4	1	0	0	0	0	0
ENSG00000006007.11|GDE1	2357	2661	2276	2293.09	2817	2446
ENSG00000006015.17|C19orf60	472	532	453	317	508	393
ENSG00000006016.10|CRLF1	15	15	14	114	140	115
ENSG00000006025.11|OSBPL7	219	247	248	499	646	534
ENSG00000006042.11|TMEM98	1466	1677	1505	1873	2410	2116
ENSG00000006047.12|YBX2	156	180	183	296	425	381
ENSG00000006059.3|KRT33A	0	0	0	0	0	0
ENSG00000006062.14|MAP3K14	182	172	187	1462	2202	1773
ENSG00000006071.13|ABCC8	2	0	0	1	0	0
ENSG00000006116.3|CACNG3	27	31	26	64	80	95
ENSG00000006118.14|TMEM132A	911	1034	1042	1708	2686	2170
ENSG00000006125.17|AP2B1	10577	11899	10280	10416	12507.76	11374
ENSG00000006128.11|TAC1	0	0	0	0	0	1
ENSG00000006194.9|ZNF263	1119	1322	1157	1237	1640	1360
ENSG00000006210.6|CX3CL1	50	34	37	196	218	196
ENSG00000006282.20|SPATA20	247	285	289	901	1312	1161
ENSG00000006283.17|CACNA1G	191	187	177	349	531	455
ENSG00000006327.13|TNFRSF12A	452	584	526	1054	1484	1237
ENSG00000006377.10|DLX6	255	315	288	78	107	100
ENSG00000006432.15|MAP3K9	407	418	411	607	650	573
ENSG00000006451.7|RALA	986	1088	907	851	996	919
ENSG00000006453.13|BAIAP2L1	4	2	4	2	2	4
ENSG00000006459.10|KDM7A	245	208	223	443	436	388
ENSG00000006468.13|ETV1	750.91	794	681	279	403	376
ENSG00000006530.15|AGK	1117	1270	1105	792	978	842
ENSG00000006534.15|ALDH3B1	7	15	7	91	139	116
ENSG00000006555.10|TTC22	1	0	0	1	0	2
ENSG00000006576.16|PHTF2	1178	1212	963	419	450	469
ENSG00000006606.8|CCL26	19	17	18	9	10	6
ENSG00000006607.13|FARP2	1876	2121	1919	1357	1696	1285
ENSG00000006611.15|USH1C	0	0	0	0	0	0
ENSG00000006625.17|GGCT	1752.43	2184	1784	486.73	624	555
ENSG00000006634.7|DBF4	1114.97	1215.99	1066	162	152	193
ENSG00000006638.11|TBXA2R	13	14	13	12	31	11
ENSG00000006652.13|IFRD1	679	855	705	858	993	999
ENSG00000006659.12|LGALS14	0	0	0	0	0	0
ENSG00000006695.10|COX10	460	491	513	404	426	385
ENSG00000006704.10|GTF2IRD1	2110	2199	2051	1623	2391	1939
ENSG00000006712.14|PAF1	1633	1880	1687	1339	1725	1529
ENSG00000006715.15|VPS41	1023	1092	921	1607	1883	1630
ENSG00000006740.16|ARHGAP44	26	27	27	43	64	40
ENSG00000006744.18|ELAC2	2095	2337	2163	1531	2213	1799
ENSG00000006747.14|SCIN	4	2	1	3	0	0
ENSG00000006756.15|ARSD	107	152	96	773	1050	866
ENSG00000006757.11|PNPLA4	1	1	0	0	3	1
ENSG00000006788.13|MYH13	0	0	0	0	0	0
ENSG00000006831.9|ADIPOR2	2444	2890	2506	1952	2279.49	2080
ENSG00000006837.11|CDKL3	15.36	16.85	16.88	37.19	44.68	70.05
ENSG00000007001.12|UPP2	0	0	0	0	0	0
ENSG00000007038.10|PRSS21	1	0	1	2	1	2
ENSG00000007047.14|MARK4	1135	1272	1215	1607	2341	1902.93
ENSG00000007062.11|PROM1	0	5	8	12	22	17
ENSG00000007080.10|CCDC124	1687	1920	1920	719	1152	870
ENSG00000007129.17|CEACAM21	283	328	299	35	46	38
ENSG00000007168.12|PAFAH1B1	4031.44	4325.42	3778.81	4566.69	5307.1	4835.65
ENSG00000007171.17|NOS2	1	2	1	0	0	0
ENSG00000007174.17|DNAH9	51	78	69	30	42	37
ENSG00000007202.14|KIAA0100	8207	9140	8460	7364	9659	7963
ENSG00000007216.14|SLC13A2	0	0	0	0	0	0
ENSG00000007237.18|GAS7	0	1	1	52	87	57
ENSG00000007255.10|TRAPPC6A	100	118	125	172	277	217
